Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2018-03-23,84.49034118652344,127.61000061035156,150.4848175048828,228.0364532470703,84.56166490146936,128.05999755859375,155.03231347806772,233.77162621271538,84.37146228184798,127.61000061035156,150.40886607365744,227.8420401470805,84.37146228184798,127.81999969482422,154.37724505922134,233.4446648554846,3618700,12025900,80110400,183534800
2018-03-26,84.4586410522461,128.27999877929688,156.07659912109375,234.27532958984375,84.56959308594892,128.5800018310547,156.26648492532192,234.55811720817164,84.37939046337726,128.00999450683594,151.10190395338012,229.2383066079222,84.51411706909751,128.0500030517578,153.53229159046967,231.6419474274861,4546500,6169800,57481500,141956100
2018-03-27,84.704345703125,127.48999786376953,151.0260009765625,230.28981018066406,84.75982173701229,127.62000274658203,157.23488343224142,235.74216689562675,84.49036844282666,127.05000305175781,149.69687235185913,228.7345058623637,84.50621614689408,127.2300033569336,157.23488343224142,235.2119740308434,4537700,6180700,78889100,129941400
2018-03-28,84.75183868408203,125.7300033569336,149.28863525390625,229.6094207763672,84.87863836282872,126.61000061035156,151.69054345711947,232.0926172982425,84.70428351392597,125.51000213623047,148.13988961981215,228.50480702582675,84.83901610853341,126.4800033569336,150.16205510177866,230.42242836273297,5617200,10254900,89369700,146452300
2018-03-29,84.99754333496094,125.79000091552734,152.02281188964844,232.54330444335938,85.00547020682752,125.80999755859375,153.52282009437877,234.40790666269632,84.75978555041637,125.30999755859375,148.70001275526283,229.6182890991537,84.75978555041637,125.41999816894531,150.09558955060515,230.7494126132141,8300000,7102000,68692600,111601600
2018-04-02,84.91254425048828,127.26000213623047,147.63671875,227.5238800048828,85.02374821867238,127.54000091552734,151.65256959147425,232.52557335921296,84.84899739433686,126.37999725341797,146.0892534539557,225.04954297400147,84.91254425048828,126.6500015258789,150.94054114974196,232.01301757358857,7280300,11421100,85549400,186286300
2018-04-03,84.81724548339844,126.30000305175781,149.29811096191406,230.44007873535156,84.88873722974583,126.58999633789062,149.92469943592417,230.9172793982048,84.78547204726218,126.01000213623047,146.6208916880832,226.96717978305338,84.84901891953469,126.54000091552734,148.92785677022718,228.76107132825462,9916100,6083700,64090000,119956900
2018-04-04,84.84904479980469,126.44999694824219,151.65255737304688,232.9055938720703,84.93642026078943,127.52999877929688,152.11773997962922,233.6125358728964,84.82521623047523,126.31999969482422,146.24113006286774,226.7551121669355,84.91259169145998,127.5,146.41202440796775,226.88766042107682,6200900,7488300,65768700,123715300
2018-04-05,84.72988891601562,125.80000305175781,152.5164794921875,234.7436981201172,84.80138067828221,126.08000183105469,153.3994022526568,235.62738914999005,84.69811547280432,125.43000030517578,151.40571691192355,233.5772194883386,84.76166235922693,125.44999694824219,153.16205944953407,234.6641421954918,2592500,5333000,43054900,82652600
2018-04-06,84.92049407958984,126.38999938964844,148.70001220703125,229.5121612548828,84.97609606692754,126.5999984741211,152.33610555617523,234.2752403446285,84.82517378979861,126.12999725341797,147.9879838237166,227.99221209552195,84.90460433454359,126.56999969482422,150.83609735697516,232.78182779698162,2814800,6121200,59870900,179521200
2018-04-09,84.99200439453125,126.81999969482422,149.7443084716797,230.64332580566406,84.99200439453125,126.86000061035156,152.73483630666857,234.03669563881604,84.8172535093275,126.2300033569336,149.48798868950533,229.7066156054344,84.85697182329703,126.44999694824219,149.98165126082543,230.97028712505096,3746500,4189900,41810400,105442900
2018-04-10,84.92848205566406,127.12000274658203,153.0481414794922,234.3105926513672,84.98408407518885,127.30999755859375,153.54180408614096,235.09709034906356,84.8569963420603,126.66999816894531,151.0164876384607,232.3929988613385,84.95231062686531,127.0199966430664,152.09877025496803,233.53294049080034,2941900,5268800,48296800,103529000
2018-04-11,84.99991607666016,128.11000061035156,152.16522216796875,233.08233642578125,85.03962831495808,129.47000122070312,153.79814187018226,234.743679746807,84.93636922318967,127.77999877929688,151.99434229707123,232.75537508521705,85.0316895033954,128.08999633789062,152.0892707299291,232.8260584961061,8598800,12348600,41622100,91140200
2018-04-12,84.8093032836914,126.62000274658203,153.99752807617188,234.9999237060547,84.93639703224419,127.33999633789062,154.52917369717386,235.94547947818188,84.80136446952947,126.47000122070312,153.00068529366482,234.2311169080454,84.92051334375684,127.25,153.0861252356994,234.4078658821633,3899000,8141300,30467900,68890500
2018-04-13,84.83312225341797,127.44999694824219,153.19996643066406,234.3105926513672,84.86488962453103,127.75,154.9942767225981,236.42262644963864,84.72985708673225,127.02999877929688,152.53540974591982,233.30319923834267,84.74574683245115,127.06999969482422,154.7664369942568,236.3077423393593,2764800,6821300,44604900,85079200
2018-04-16,84.84904479980469,127.62999725341797,154.36778259277344,236.23709106445312,84.86492849263594,128.0500030517578,154.92790819547514,237.00592484828672,84.68223875433338,127.56999969482422,153.30447686257358,235.12365879979507,84.70606732366284,127.73999786376953,154.2728396661685,235.94548491535662,3860800,4600000,28180800,63405300
2018-04-17,84.87283325195312,127.75,157.69056701660156,238.7644805908203,84.90460668276229,127.77999877929688,158.03234123867645,239.36538401645197,84.79340270501133,127.0,155.61144170616737,237.49196335530033,84.84105982114396,127.0199966430664,155.9247359502573,238.00449228466618,2363000,4184100,35536100,64682000
2018-04-18,84.634521484375,127.8499984741211,158.01339721679688,238.94125366210938,84.79338254048018,128.5399932861328,158.5450429472015,239.7453888452664,84.62657661352148,127.75,156.94060276963486,238.48171702246233,84.78543766962667,128.32000732421875,157.69061437851687,239.2063502095114,2231700,6755600,29573900,57303900
